job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/it-project-manager-business-analyst-salesforce-implementation-at-rcm-technologies-life-sciences-3761403010,2024-01-19 09:45:09.215838+00,t,t,f,IT Project Manager/ Business Analyst Salesforce Implementation,"RCM Technologies, Life Sciences","Parsippany, NJ",2024-01-13,Oak Ridge,United States,Job Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-plm-at-accenture-federal-services-3754397137,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst-PLM,Accenture Federal Services,"New Jersey, United States",2024-01-13,Lakehurst,United States,Management Analyst,Mid senior,Onsite
https://au.linkedin.com/jobs/view/business-analyst-at-country-fire-authority-cfa-3798261378,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Country Fire Authority (CFA),"Melbourne, Victoria, Australia",2024-01-12,Victoria,Australia,Change Person,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/business-analyst-data-analyst-financial-accounting-at-lti-larsen-toubro-infotech-3769296143,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst / Data Analyst Financial Accounting,LTI - Larsen & Toubro Infotech,"Mississauga, Ontario, Canada",2024-01-13,Sarnia-Clearwater,Canada,Data Communications Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-data-analyst-at-bluehawk-consulting-3803812226,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst/Data Analyst,Bluehawk Consulting,"Washington, United States",2024-01-13,Wenatchee,United States,Data Communications Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/it-business-analyst-data-amp-analytics-at-inspyr-solutions-3800276072,2024-01-19 09:45:09.215838+00,t,t,f,IT Business Analyst - Data &amp; Analytics,INSPYR Solutions,"Boca Raton, FL",2024-01-13,Pompano Beach,United States,Data Communications Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-sra-staffing-sra-group-3796727969,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,SRA Staffing - SRA Group,"Burlington, VT",2024-01-13,Huntington,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-tekintegral-3793691182,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,TekIntegral,"Richmond, VA",2024-01-13,Montpelier,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-people-tech-group-inc-3790964938,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,People Tech Group Inc,"Redmond, WA",2024-01-13,Everett,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-sra-staffing-sra-group-3760340703,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,SRA Staffing - SRA Group,"Burlington, VT",2024-01-13,Huntington,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-401k-at-dice-3804441263,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst - 401k,Dice,United States,2024-01-13,Smith Center,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-hsk-technologies-inc-3792393838,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,HSK Technologies Inc,"Indianapolis, IN",2024-01-13,Plainfield,United States,Economist,Associate,Onsite
https://www.linkedin.com/jobs/view/information-technology-business-analyst-at-appleone-employment-services-3801549132,2024-01-19 09:45:09.215838+00,t,t,f,Information Technology Business Analyst,AppleOne Employment Services,"Fresno, CA",2024-01-13,Selma,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/financial-analyst-%E2%80%93-franchise-business-analyst-at-accruepartners-3800607217,2024-01-19 09:45:09.215838+00,t,t,f,Financial Analyst – Franchise Business Analyst,AccruePartners,"Charlotte, NC",2024-01-13,Gastonia,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/it-business-analyst-hybrid-at-liberty-personnel-services-inc-3780558341,2024-01-19 09:45:09.215838+00,t,t,f,IT Business Analyst ( Hybrid),"Liberty Personnel Services, Inc.","Marlton, NJ",2024-01-13,Winslow,United States,Economist,Associate,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-dmvtek-3736015022,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,DMVTEK,Greater Cleveland,2024-01-13,Cleveland Heights,United States,Economist,Associate,Onsite
https://www.linkedin.com/jobs/view/guidewire-business-analyst-senior-associate-at-pwc-3801109050,2024-01-19 09:45:09.215838+00,t,t,f,Guidewire Business Analyst - Senior Associate,PwC,"Hartford, CT",2024-01-13,New Britain,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-business-analyst-at-robert-half-3798873166,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst,Robert Half,"Warrenville, IL",2024-01-13,Homer,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-stellent-it-3793664120,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Stellent IT,"Atlanta, GA",2024-01-13,Atlanta,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/it-business-analyst-at-independent-bank-3768498332,2024-01-19 09:45:09.215838+00,t,t,f,IT Business Analyst,Independent Bank,"Traverse City, MI",2024-01-13,Traverse City,United States,Economist,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-at-bristow-holland-tech-recruitment-3805253301,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Bristow Holland Tech Recruitment,"Ipswich, England, United Kingdom",2024-01-13,Ipswich,United Kingdom,Economist,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-at-focus-search-selection-3792278324,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Focus Search & Selection,"Bramford, England, United Kingdom",2024-01-13,Ipswich,United Kingdom,Economist,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-at-focus-search-selection-3792283031,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Focus Search & Selection,"Bury St. Edmunds, England, United Kingdom",2024-01-13,Ipswich,United Kingdom,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-shared-product-owner-at-e-it-3793660305,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst/Shared Product Owner,E-IT,"Michigan, United States",2024-01-13,Traverse City,United States,Economist,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-at-focus-search-selection-3789435757,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Focus Search & Selection,"Ipswich, England, United Kingdom",2024-01-13,Ipswich,United Kingdom,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-analytics-at-bed-bath-beyond-3771807880,2024-01-19 09:45:09.215838+00,t,t,f,"Business Analyst, Analytics",Bed Bath & Beyond,"Utah, United States",2024-01-13,Manti,United States,Economist,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-distributed-energy-resources-at-energy-jobline-3780217882,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst (Distributed Energy Resources),Energy Jobline,"Maidstone, England, United Kingdom",2024-01-13,Medway Towns,United Kingdom,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/hr-business-analyst-oracle-hcm-at-southern-company-3804451260,2024-01-19 09:45:09.215838+00,t,t,f,HR Business Analyst - Oracle HCM,Southern Company,"Biloxi, MS",2024-01-13,Mississippi,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-quality-assurance-lead-at-inceed-3783800654,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst/ Quality Assurance Lead,Inceed,"Tulsa, OK",2024-01-13,Sun Valley,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/commercial-business-analyst-at-ds-smith-3800281886,2024-01-19 09:45:09.215838+00,t,t,f,Commercial Business Analyst,DS Smith,"Holly Springs, NC",2024-01-13,North Carolina,United States,Management Analyst,Associate,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-intellectt-inc-3759323222,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Intellectt Inc,"Teaneck, NJ",2024-01-13,Eastchester,United States,Management Analyst,Associate,Onsite
https://ca.linkedin.com/jobs/view/business-analyst-business-case-development-at-lancesoft-inc-3743098166,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst (Business Case Development),"LanceSoft, Inc.","Burnaby, British Columbia, Canada",2024-01-13,Sarnia-Clearwater,Canada,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/software-business-analyst-lead-at-energy-jobline-3786344941,2024-01-19 09:45:09.215838+00,t,t,f,Software Business Analyst Lead,Energy Jobline,"London, England, United Kingdom",2024-01-13,Greater London,United Kingdom,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sr-business-analyst-onsite-only-full-time-position-at-photon-3700052879,2024-01-19 09:45:09.215838+00,t,t,f,"Sr. Business Analyst ( onsite, only Full time position )",Photon,"Atlanta, GA",2024-01-13,Atlanta,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-business-analyst-at-stellent-it-3793664061,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst,Stellent IT,"Atlanta, GA",2024-01-13,Atlanta,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-hf-sinclair-3798140906,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,HF Sinclair,"Dallas, TX",2024-01-13,Arlington,United States,Management Analyst,Associate,Onsite
https://uk.linkedin.com/jobs/view/ectrm-business-analyst-senior-consultant-principal-at-infosys-consulting-3783364852,2024-01-19 09:45:09.215838+00,t,t,f,ECTRM Business Analyst - Senior Consultant/Principal,Infosys Consulting,"London, England, United Kingdom",2024-01-13,Greater London,United Kingdom,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-hussian-college-3511341911,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Hussian College,"Philadelphia, PA",2024-01-13,Norristown,United States,Management Analyst,Mid senior,Onsite
